id,GeographicAreaName, Total, MOE_Total, LessThanHSGrad, MOE_LessThanHSGrad, HSGrad, MOE_HSGrad, SomeCollege, MOE_SomeCollege, BachelorsDegree, MOE_BachelorsDegree, GradOrProfessionalDegree, MOE_GradOrProfessionalDegree 
04000US22,Louisiana,3107941,1238,471960,5567,1055768,7467,842620,5929,483170,6650,254423,4584
0500000US22001,"Acadia Parish, Louisiana",40816,254,8911,710,16807,917,9640,688,3880,579,1578,309
0500000US22003,"Allen Parish, Louisiana",17942,161,3607,398,7699,427,4353,392,1538,302,745,228
0500000US22005,"Ascension Parish, Louisiana",78203,200,9106,993,25345,1411,22799,1176,14368,925,6585,709
0500000US22007,"Assumption Parish, Louisiana",15539,165,4103,442,6798,442,3049,381,919,192,670,222
0500000US22009,"Avoyelles Parish, Louisiana",27785,118,6714,477,10804,591,6909,470,2282,360,1076,252
0500000US22011,"Beauregard Parish, Louisiana",24436,85,3741,386,9302,533,7112,488,2995,379,1286,189
0500000US22013,"Bienville Parish, Louisiana",9472,11,1620,227,3951,223,2727,229,762,146,412,108
0500000US22015,"Bossier Parish, Louisiana",82825,116,8850,762,24400,1192,28335,1246,13908,949,7332,681
0500000US22017,"Caddo Parish, Louisiana",166837,108,22427,1211,55797,1441,49381,1427,24408,1338,14824,1038
0500000US22019,"Calcasieu Parish, Louisiana",132213,224,17857,1248,44680,1367,40708,1176,19432,942,9536,689
0500000US22021,"Caldwell Parish, Louisiana",6791,139,1600,232,2934,266,1293,199,667,156,297,130
0500000US22023,"Cameron Parish, Louisiana",4791,136,869,267,1857,278,1507,276,425,126,133,64
0500000US22025,"Catahoula Parish, Louisiana",6723,120,1607,202,2856,252,1475,241,560,116,225,73
0500000US22027,"Claiborne Parish, Louisiana",11877,40,2234,265,4923,340,2978,320,1130,214,612,165
0500000US22029,"Concordia Parish, Louisiana",13417,119,3070,330,5559,367,3077,388,1168,234,543,149
0500000US22031,"De Soto Parish, Louisiana",18434,88,3249,394,7887,486,4679,390,1724,280,895,229
0500000US22033,"East Baton Rouge Parish, Louisiana",279597,105,27246,1278,76449,2220,79005,2013,60661,1878,36236,1499
0500000US22035,"East Carroll Parish, Louisiana",4820,231,1518,220,1872,199,1021,146,319,104,90,53
0500000US22037,"East Feliciana Parish, Louisiana",14258,54,2882,264,6059,368,3521,338,1269,195,527,150
0500000US22039,"Evangeline Parish, Louisiana",21586,154,5461,637,8586,643,4766,460,2027,334,746,188
0500000US22041,"Franklin Parish, Louisiana",13410,75,3184,301,5753,297,2874,280,995,196,604,193
0500000US22043,"Grant Parish, Louisiana",15932,175,2914,394,6938,389,4748,443,977,186,355,106
0500000US22045,"Iberia Parish, Louisiana",47200,135,10053,697,20212,699,10941,773,4265,508,1729,301
0500000US22047,"Iberville Parish, Louisiana",22966,101,4830,511,9269,547,5537,450,2472,383,858,205
0500000US22049,"Jackson Parish, Louisiana",11181,68,2269,249,4836,336,2561,245,1073,165,442,106
0500000US22051,"Jefferson Parish, Louisiana",305052,94,44549,1824,95090,2002,85657,1831,53402,1493,26354,1144
0500000US22053,"Jefferson Davis Parish, Louisiana",20733,107,3918,402,8641,461,4873,415,2240,355,1061,234
0500000US22055,"Lafayette Parish, Louisiana",159832,79,19959,1277,48248,1667,40286,1426,35734,1510,15605,816
0500000US22057,"Lafourche Parish, Louisiana",66237,136,15007,755,26613,1068,13649,833,7551,617,3417,366
0500000US22059,"LaSalle Parish, Louisiana",10040,167,2294,337,4199,391,2326,290,939,231,282,106
0500000US22061,"Lincoln Parish, Louisiana",25723,106,2995,360,7013,473,6331,488,5533,501,3851,403
0500000US22063,"Livingston Parish, Louisiana",90800,253,13107,1287,35380,1567,25720,1422,11629,904,4964,633
0500000US22065,"Madison Parish, Louisiana",7627,40,1920,191,2972,226,1776,180,604,117,355,107
0500000US22067,"Morehouse Parish, Louisiana",17299,127,3518,396,7641,421,3891,342,1899,259,350,131
0500000US22069,"Natchitoches Parish, Louisiana",23136,79,3123,395,8097,468,7787,485,2550,326,1579,212
0500000US22071,"Orleans Parish, Louisiana",274663,41,38030,1086,63015,1362,72498,1473,57944,1340,43176,1115
0500000US22073,"Ouachita Parish, Louisiana",100828,153,13796,848,34179,1273,28391,1067,16301,983,8161,688
0500000US22075,"Plaquemines Parish, Louisiana",15287,130,2608,275,5277,489,4408,388,2055,343,939,202
0500000US22077,"Pointe Coupee Parish, Louisiana",15464,132,3054,345,6221,439,3839,435,1726,281,624,189
0500000US22079,"Rapides Parish, Louisiana",86826,144,12774,894,32580,1277,23640,1079,11037,841,6795,500
