"id","GeographicAreaName","MedianHouseholdIncome","MOE_MedianHouseholdIncome"
"0500000US22113","Vermilion Parish, Louisiana","50690","2701"
"0500000US22089","St. Charles Parish, Louisiana","66620","2567"
"0500000US22029","Concordia Parish, Louisiana","31813","5909"
"0500000US22107","Tensas Parish, Louisiana","23870","2634"
"0500000US22093","St. James Parish, Louisiana","50661","3298"
"0500000US22043","Grant Parish, Louisiana","40792","2359"
"0500000US22051","Jefferson Parish, Louisiana","52558","831"
"0500000US22013","Bienville Parish, Louisiana","30300","2523"
"0500000US22015","Bossier Parish, Louisiana","53806","2020"
"0500000US22023","Cameron Parish, Louisiana","55000","13852"
"0500000US22037","East Feliciana Parish, Louisiana","48129","4526"
"0500000US22095","St. John the Baptist Parish, Louisiana","54821","4413"
"0500000US22075","Plaquemines Parish, Louisiana","52386","5481"
"0500000US22073","Ouachita Parish, Louisiana","41314","1193"
"0500000US22079","Rapides Parish, Louisiana","44852","1596"
"0500000US22117","Washington Parish, Louisiana","34985","2963"
"0500000US22097","St. Landry Parish, Louisiana","33288","2619"
"0500000US22105","Tangipahoa Parish, Louisiana","46297","1962"
"0500000US22001","Acadia Parish, Louisiana","41177","3101"
"0500000US22101","St. Mary Parish, Louisiana","40485","1543"
"0500000US22123","West Carroll Parish, Louisiana","36528","5377"
"0500000US22103","St. Tammany Parish, Louisiana","67706","1782"
"0500000US22111","Union Parish, Louisiana","43083","4908"
"0500000US22021","Caldwell Parish, Louisiana","32174","5773"
"0500000US22055","Lafayette Parish, Louisiana","54726","1425"
"0500000US22017","Caddo Parish, Louisiana","40866","1194"
"0500000US22035","East Carroll Parish, Louisiana","21161","2639"
"0500000US22005","Ascension Parish, Louisiana","76589","3279"
"0500000US22045","Iberia Parish, Louisiana","45274","2488"
"0500000US22087","St. Bernard Parish, Louisiana","46011","2745"
"0500000US22091","St. Helena Parish, Louisiana","39895","6619"
"0500000US22121","West Baton Rouge Parish, Louisiana","60908","4083"
"0500000US22031","De Soto Parish, Louisiana","44230","3092"
"0500000US22081","Red River Parish, Louisiana","33446","6568"
"0500000US22063","Livingston Parish, Louisiana","63159","2432"
"0500000US22069","Natchitoches Parish, Louisiana","27795","1572"
"0500000US22071","Orleans Parish, Louisiana","39576","882"
"0500000US22025","Catahoula Parish, Louisiana","38854","7020"
"0500000US22019","Calcasieu Parish, Louisiana","49452","1371"
"0500000US22041","Franklin Parish, Louisiana","35466","2176"
"0500000US22007","Assumption Parish, Louisiana","44744","6150"
"0500000US22049","Jackson Parish, Louisiana","38523","4546"
"0500000US22083","Richland Parish, Louisiana","34422","5064"
"0500000US22099","St. Martin Parish, Louisiana","47974","3530"
"0500000US22127","Winn Parish, Louisiana","35398","6284"
"0500000US22033","East Baton Rouge Parish, Louisiana","52719","1110"
"0500000US22003","Allen Parish, Louisiana","41009","2733"
"0500000US22065","Madison Parish, Louisiana","27810","2807"
"0500000US22057","Lafourche Parish, Louisiana","53089","1955"
"0500000US22053","Jefferson Davis Parish, Louisiana","39653","2929"
"0500000US22125","West Feliciana Parish, Louisiana","55510","4719"
"0500000US22011","Beauregard Parish, Louisiana","50738","3694"
"0500000US22039","Evangeline Parish, Louisiana","32180","2394"
"0500000US22061","Lincoln Parish, Louisiana","34154","2582"
"0500000US22119","Webster Parish, Louisiana","30358","1979"
"0500000US22047","Iberville Parish, Louisiana","47797","5222"
"0500000US22067","Morehouse Parish, Louisiana","33333","2531"
"0500000US22109","Terrebonne Parish, Louisiana","48866","2239"
"0500000US22027","Claiborne Parish, Louisiana","27303","2774"
"0500000US22009","Avoyelles Parish, Louisiana","38077","3142"
"0500000US22077","Pointe Coupee Parish, Louisiana","44269","3795"
"0500000US22115","Vernon Parish, Louisiana","47772","1438"
"0500000US22085","Sabine Parish, Louisiana","39465","2575"
"0500000US22059","LaSalle Parish, Louisiana","36868","3549"
